"MechanisticTarget","MT_NCIm_term","asid","aid","anm","acid","acnm","aeid","aenm"
,,7,323,"TOX21_GR_BLA_Antagonist",756,"TOX21_GR_BLA_Antagonist_ch2",1194,"TOX21_GR_BLA_Antagonist_ch2"
,,7,378,"TOX21_PPARd_BLA_Antagonist",758,"TOX21_PPARd_BLA_Antagonist_ch1",1196,"TOX21_PPARd_BLA_Antagonist_ch1"
,,7,378,"TOX21_PPARd_BLA_Antagonist",759,"TOX21_PPARd_BLA_Antagonist_ch2",1197,"TOX21_PPARd_BLA_Antagonist_ch2"
,,7,379,"TOX21_PPARg_BLA_Antagonist",760,"TOX21_PPARg_BLA_Antagonist_ch1",1198,"TOX21_PPARg_BLA_Antagonist_ch1"
,,7,379,"TOX21_PPARg_BLA_Antagonist",761,"TOX21_PPARg_BLA_Antagonist_ch2",1199,"TOX21_PPARg_BLA_Antagonist_ch2"
,,7,381,"TOX21_VDR_BLA_Antagonist",762,"TOX21_VDR_BLA_Antagonist_ch1",1200,"TOX21_VDR_BLA_Antagonist_ch1"
,,7,381,"TOX21_VDR_BLA_Antagonist",763,"TOX21_VDR_BLA_Antagonist_ch2",1201,"TOX21_VDR_BLA_Antagonist_ch2"
,,7,311,"TOX21_AR_BLA_Antagonist",764,"TOX21_AR_BLA_Antagonist_ch1",1202,"TOX21_AR_BLA_Antagonist_ch1"
,,7,311,"TOX21_AR_BLA_Antagonist",765,"TOX21_AR_BLA_Antagonist_ch2",1203,"TOX21_AR_BLA_Antagonist_ch2"
,,7,402,"TOX21_p53_BLA_p2",890,"TOX21_p53_BLA_p2_ch1",1315,"TOX21_p53_BLA_p2_ch1"
,,7,402,"TOX21_p53_BLA_p2",891,"TOX21_p53_BLA_p2_ch2",1316,"TOX21_p53_BLA_p2_ch2"
,,7,403,"TOX21_p53_BLA_p3",894,"TOX21_p53_BLA_p3_ch1",1319,"TOX21_p53_BLA_p3_ch1"
,,7,403,"TOX21_p53_BLA_p3",895,"TOX21_p53_BLA_p3_ch2",1320,"TOX21_p53_BLA_p3_ch2"
,,7,404,"TOX21_p53_BLA_p4",898,"TOX21_p53_BLA_p4_ch1",1323,"TOX21_p53_BLA_p4_ch1"
,,7,404,"TOX21_p53_BLA_p4",899,"TOX21_p53_BLA_p4_ch2",1324,"TOX21_p53_BLA_p4_ch2"
,,7,405,"TOX21_p53_BLA_p5",902,"TOX21_p53_BLA_p5_ch1",1327,"TOX21_p53_BLA_p5_ch1"
,,7,405,"TOX21_p53_BLA_p5",903,"TOX21_p53_BLA_p5_ch2",1328,"TOX21_p53_BLA_p5_ch2"
,,7,406,"TOX21_ESRE_BLA",907,"TOX21_ESRE_BLA_ch1",1340,"TOX21_ESRE_BLA_ch1"
,,7,406,"TOX21_ESRE_BLA",908,"TOX21_ESRE_BLA_ch2",1341,"TOX21_ESRE_BLA_ch2"
,,7,407,"TOX21_NFkB_BLA_Agonist",911,"TOX21_NFkB_BLA_agonist_ch1",1344,"TOX21_NFkB_BLA_agonist_ch1"
,,7,407,"TOX21_NFkB_BLA_Agonist",912,"TOX21_NFkB_BLA_agonist_ch2",1345,"TOX21_NFkB_BLA_agonist_ch2"
,,7,442,"TOX21_RXR_BLA_Agonist",1122,"TOX21_RXR_BLA_Agonist_ch1",1818,"TOX21_RXR_BLA_Agonist_ch1"
,,7,442,"TOX21_RXR_BLA_Agonist",1123,"TOX21_RXR_BLA_Agonist_ch2",1819,"TOX21_RXR_BLA_Agonist_ch2"
,,7,443,"TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide",1126,"TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide",1822,"TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide"
,,7,451,"TOX21_H2AX_HTRF_CHO_Agonist",1139,"TOX21_H2AX_HTRF_CHO_Agonist_ch1",1841,"TOX21_H2AX_HTRF_CHO_Agonist_ch1"
,,7,451,"TOX21_H2AX_HTRF_CHO_Agonist",1140,"TOX21_H2AX_HTRF_CHO_Agonist_ch2",1842,"TOX21_H2AX_HTRF_CHO_Agonist_ch2"
,,7,452,"TOX21_AP1_BLA_Agonist",1142,"TOX21_AP1_BLA_Agonist_ch1",1844,"TOX21_AP1_BLA_Agonist_ch1"
,,7,452,"TOX21_AP1_BLA_Agonist",1143,"TOX21_AP1_BLA_Agonist_ch2",1845,"TOX21_AP1_BLA_Agonist_ch2"
,,7,575,"TOX21_TSHR_Agonist",1920,"TOX21_TSHR_HTRF_Agonist_ch1",2038,"TOX21_TSHR_HTRF_Agonist_ch1"
,,7,575,"TOX21_TSHR_Agonist",1921,"TOX21_TSHR_HTRF_Agonist_ch2",2039,"TOX21_TSHR_HTRF_Agonist_ch2"
,,7,575,"TOX21_TSHR_Agonist",1922,"TOX21_TSHR_HTRF_Agonist_ratio",2040,"TOX21_TSHR_HTRF_Agonist_ratio"
,,7,576,"TOX21_TSHR_Antagonist",1923,"TOX21_TSHR_HTRF_Antagonist_ch1",2041,"TOX21_TSHR_HTRF_Antagonist_ch1"
,,7,576,"TOX21_TSHR_Antagonist",1924,"TOX21_TSHR_HTRF_Antagonist_ch2",2042,"TOX21_TSHR_HTRF_Antagonist_ch2"
,,7,576,"TOX21_TSHR_Antagonist",1925,"TOX21_TSHR_HTRF_Antagonist_ratio",2043,"TOX21_TSHR_HTRF_Antagonist_ratio"
,,7,577,"TOX21_TSHR_wt",1926,"TOX21_TSHR_wt_Agonist_HTRF_ch1",2044,"TOX21_TSHR_wt_Agonist_HTRF_ch1"
,,7,577,"TOX21_TSHR_wt",1927,"TOX21_TSHR_wt_Agonist_HTRF_ch2",2045,"TOX21_TSHR_wt_Agonist_HTRF_ch2"
,,7,577,"TOX21_TSHR_wt",1928,"TOX21_TSHR_wt_Agonist_HTRF_ratio",2046,"TOX21_TSHR_wt_Agonist_HTRF_ratio"
,,7,583,"TOX21_HRE_BLA_Agonist",1945,"TOX21_HRE_BLA_Agonist_ch1",2063,"TOX21_HRE_BLA_Agonist_ch1"
,,7,583,"TOX21_HRE_BLA_Agonist",1946,"TOX21_HRE_BLA_Agonist_ch2",2064,"TOX21_HRE_BLA_Agonist_ch2"
,,7,588,"TOX21_SHH_3T3_GLI3_Agonist",1988,"TOX21_SHH_3T3_GLI3_Agonist",2106,"TOX21_SHH_3T3_GLI3_Agonist"
,,7,588,"TOX21_SHH_3T3_GLI3_Agonist",1989,"TOX21_SHH_3T3_GLI3_Agonist_viability",2107,"TOX21_SHH_3T3_GLI3_Agonist_viability"
,,7,589,"TOX21_SHH_3T3_GLI3_Antagonist",1990,"TOX21_SHH_3T3_GLI3_Antagonist",2108,"TOX21_SHH_3T3_GLI3_Antagonist"
,,7,589,"TOX21_SHH_3T3_GLI3_Antagonist",1991,"TOX21_SHH_3T3_GLI3_Antagonist_viability",2109,"TOX21_SHH_3T3_GLI3_Antagonist_viability"
,,7,590,"TOX21_AChE_Inhibition_Fluor",1993,"TOX21_AChE_Inhibition_Fluor",2112,"TOX21_AChE_Inhibition_Fluor"
,,7,593,"TOX21_ERb_BLA_Agonist",1999,"TOX21_ERb_BLA_Agonist_ch1",2113,"TOX21_ERb_BLA_Agonist_ch1"
,,7,593,"TOX21_ERb_BLA_Agonist",2000,"TOX21_ERb_BLA_Agonist_ch2",2114,"TOX21_ERb_BLA_Agonist_ch2"
,,7,592,"TOX21_ERb_BLA_Antagonist",1995,"TOX21_ERb_BLA_Antagonist_ch1",2117,"TOX21_ERb_BLA_Antagonist_ch1"
,,7,592,"TOX21_ERb_BLA_Antagonist",1996,"TOX21_ERb_BLA_Antagonist_ch2",2118,"TOX21_ERb_BLA_Antagonist_ch2"
,,7,594,"TOX21_PR_BLA_Agonist",2003,"TOX21_PR_BLA_Agonist_ch1",2121,"TOX21_PR_BLA_Agonist_ch1"
,,7,594,"TOX21_PR_BLA_Agonist",2004,"TOX21_PR_BLA_Agonist_ch2",2122,"TOX21_PR_BLA_Agonist_ch2"
,,7,595,"TOX21_PR_BLA_Antagonist",2007,"TOX21_PR_BLA_Antagonist_ch1",2125,"TOX21_PR_BLA_Antagonist_ch1"
,,7,595,"TOX21_PR_BLA_Antagonist",2008,"TOX21_PR_BLA_Antagonist_ch2",2126,"TOX21_PR_BLA_Antagonist_ch2"
,,7,639,"TOX21_AChE_Inhibition_Colormetric",2072,"TOX21_AChE_Inhibition_Colormetric",2210,"TOX21_AChE_Inhibition_Colormetric"
,,7,642,"TOX21_PR_BLA_Followup",2275,"TOX21_PR_BLA_Followup_Agonist_ch1",2214,"TOX21_PR_BLA_Followup_Agonist_ch1"
,,7,642,"TOX21_PR_BLA_Followup",2276,"TOX21_PR_BLA_Followup_Antagonist_ch1",2215,"TOX21_PR_BLA_Followup_Antagonist_ch1"
,,7,642,"TOX21_PR_BLA_Followup",2277,"TOX21_PR_BLA_Followup_Agonist_ch2",2216,"TOX21_PR_BLA_Followup_Agonist_ch2"
,,7,642,"TOX21_PR_BLA_Followup",2278,"TOX21_PR_BLA_Followup_Antagonist_ch2",2217,"TOX21_PR_BLA_Followup_Antagonist_ch2"
,,7,646,"TOX21_TRA_COA_Agonist_Followup",2289,"TOX21_TRA_COA_Agonist_Followup_ch1",2228,"TOX21_TRA_COA_Agonist_Followup_ch1"
,,7,646,"TOX21_TRA_COA_Agonist_Followup",2290,"TOX21_TRA_COA_Agonist_Followup_ch2",2229,"TOX21_TRA_COA_Agonist_Followup_ch2"
,,7,647,"TOX21_TRA_COA_Antagonist_Followup",2292,"TOX21_TRA_COA_Antagonist_Followup_ch1",2231,"TOX21_TRA_COA_Antagonist_Followup_ch1"
,,7,647,"TOX21_TRA_COA_Antagonist_Followup",2293,"TOX21_TRA_COA_Antagonist_Followup_ch2",2232,"TOX21_TRA_COA_Antagonist_Followup_ch2"
,,7,648,"TOX21_TRB_BLA_Agonist_Followup",2295,"TOX21_TRB_BLA_Agonist_Followup_ch1",2234,"TOX21_TRB_BLA_Agonist_Followup_ch1"
,,7,648,"TOX21_TRB_BLA_Agonist_Followup",2296,"TOX21_TRB_BLA_Agonist_Followup_ch2",2235,"TOX21_TRB_BLA_Agonist_Followup_ch2"
,,7,649,"TOX21_TRB_BLA_Antagonist_Followup",2299,"TOX21_TRB_BLA_Antagonist_Followup_ch1",2238,"TOX21_TRB_BLA_Antagonist_Followup_ch1"
,,7,649,"TOX21_TRB_BLA_Antagonist_Followup",2300,"TOX21_TRB_BLA_Antagonist_Followup_ch2",2239,"TOX21_TRB_BLA_Antagonist_Followup_ch2"
,,7,650,"TOX21_TRB_COA_Agonist_Followup",2303,"TOX21_TRB_COA_Agonist_Followup_ch1",2242,"TOX21_TRB_COA_Agonist_Followup_ch1"
,,7,650,"TOX21_TRB_COA_Agonist_Followup",2304,"TOX21_TRB_COA_Agonist_Followup_ch2",2243,"TOX21_TRB_COA_Agonist_Followup_ch2"
,,7,651,"TOX21_TRB_COA_Antagonist_Followup",2306,"TOX21_TRB_COA_Antagonist_Followup_ch1",2245,"TOX21_TRB_COA_Antagonist_Followup_ch1"
,,7,651,"TOX21_TRB_COA_Antagonist_Followup",2307,"TOX21_TRB_COA_Antagonist_Followup_ch2",2246,"TOX21_TRB_COA_Antagonist_Followup_ch2"
,,7,652,"TOX21_TR_COA_Antagonist_Followup",2309,"TOX21_TR_COA_Antagonist_Followup_ch1",2248,"TOX21_TR_COA_Antagonist_Followup_ch1"
,,7,652,"TOX21_TR_COA_Antagonist_Followup",2310,"TOX21_TR_COA_Antagonist_Followup_ch2",2249,"TOX21_TR_COA_Antagonist_Followup_ch2"
,,7,652,"TOX21_TR_COA_Antagonist_Followup",2311,"TOX21_TR_COA_Antagonist_Followup_ratio",2250,"TOX21_TR_COA_Antagonist_Followup_ratio"
,,7,653,"TOX21_TR_RXR_BLA_Agonist_Followup",2312,"TOX21_TR_RXR_BLA_Agonist_Followup_ch1",2251,"TOX21_TR_RXR_BLA_Agonist_Followup_ch1"
,,7,653,"TOX21_TR_RXR_BLA_Agonist_Followup",2313,"TOX21_TR_RXR_BLA_Agonist_Followup_ch2",2252,"TOX21_TR_RXR_BLA_Agonist_Followup_ch2"
,,7,654,"TOX21_TR_RXR_BLA_Antagonist_Followup",2316,"TOX21_TR_RXR_BLA_Antagonist_Followup_ch1",2255,"TOX21_TR_RXR_BLA_Antagonist_Followup_ch1"
,,7,654,"TOX21_TR_RXR_BLA_Antagonist_Followup",2317,"TOX21_TR_RXR_BLA_Antagonist_Followup_ch2",2256,"TOX21_TR_RXR_BLA_Antagonist_Followup_ch2"
,,7,679,"TOX21_SBE_BLA_Antagonist",2377,"TOX21_SBE_BLA_Antagonist_ch1",2370,"TOX21_SBE_BLA_Antagonist_ch1"
,,7,679,"TOX21_SBE_BLA_Antagonist",2378,"TOX21_SBE_BLA_Antagonist_ch2",2371,"TOX21_SBE_BLA_Antagonist_ch2"
,,7,680,"TOX21_SBE_BLA_Agonist",2381,"TOX21_SBE_BLA_Agonist_ch1",2374,"TOX21_SBE_BLA_Agonist_ch1"
,,7,680,"TOX21_SBE_BLA_Agonist",2382,"TOX21_SBE_BLA_Agonist_ch2",2375,"TOX21_SBE_BLA_Agonist_ch2"
,,7,689,"TOX21_msti_p2",2497,"TOX21_msti_p2_activity_n",2542,"TOX21_msti_p2_activity_n"
,,7,689,"TOX21_msti_p2",2498,"TOX21_msti_p2_activity",2543,"TOX21_msti_p2_activity"
,,7,690,"TOX21_p450_3a4_p1",2499,"TOX21_p450_3a4_p1",2544,"TOX21_p450_3a4_p1"
,,7,859,"TOX21_msti_p3",2803,"TOX21_msti_p3_activity",3017,"TOX21_msti_p3_activity"
,,7,859,"TOX21_msti_p3",2804,"TOX21_msti_p3_activity_n",3018,"TOX21_msti_p3_activity_n"
,,8,370,"CEETOX_H295R",592,"CEETOX_H295R_DHEA",903,"CEETOX_H295R_DHEA"
,,8,370,"CEETOX_H295R",596,"CEETOX_H295R_PREG",911,"CEETOX_H295R_PREG"
,,8,370,"CEETOX_H295R",2029,"CEETOX_H295R_DHEA_noMTC",2155,"CEETOX_H295R_DHEA_noMTC"
,,8,370,"CEETOX_H295R",2033,"CEETOX_H295R_PREG_noMTC",2163,"CEETOX_H295R_PREG_noMTC"
,,9,371,"LTEA_HepaRG",607,"LTEA_HepaRG_AFP",932,"LTEA_HepaRG_AFP"
,,9,371,"LTEA_HepaRG",619,"LTEA_HepaRG_CCND2",956,"LTEA_HepaRG_CCND2"
,,9,371,"LTEA_HepaRG",624,"LTEA_HepaRG_CYP24A1",966,"LTEA_HepaRG_CYP24A1"
,,9,371,"LTEA_HepaRG",650,"LTEA_HepaRG_GCLM",1018,"LTEA_HepaRG_GCLM"
,,9,371,"LTEA_HepaRG",651,"LTEA_HepaRG_GE_ACTB",1020,"LTEA_HepaRG_GE_ACTB"
,,9,371,"LTEA_HepaRG",652,"LTEA_HepaRG_GE_GAPDH",1022,"LTEA_HepaRG_GE_GAPDH"
,,9,371,"LTEA_HepaRG",653,"LTEA_HepaRG_GE_POLR2A",1024,"LTEA_HepaRG_GE_POLR2A"
,,9,371,"LTEA_HepaRG",958,"LTEA_HepaRG_KLK3",1392,"LTEA_HepaRG_KLK3"
,,10,414,"VALA_A1",966,"Vala_A1_LipidPxlInt",1512,"Vala_A1_LipidPxlInt"
,,10,414,"VALA_A1",967,"Vala_A1_CellCount",1514,"Vala_A1_CellCount"
,,10,414,"VALA_A1",968,"Vala_A1_PctDifferenCells",1515,"Vala_A1_PctDifferenCells"
,,10,414,"VALA_A1",969,"Vala_A1_K2_ADFPvLipid",1517,"Vala_A1_K2_ADFPvLipid"
,,10,414,"VALA_A1",970,"Vala_A1_LipidDropletDiam",1519,"Vala_A1_LipidDropletDiam"
,,10,414,"VALA_A1",971,"Vala_A1_PCC_ADFPvLipid",1521,"Vala_A1_PCC_ADFPvLipid"
,,10,414,"VALA_A1",972,"Vala_A1_PCC_PerilipinvLipid",1523,"Vala_A1_PCC_PerilipinvLipid"
,,10,415,"VALA_A2",973,"Vala_A2_LipidPxlInt",1525,"Vala_A2_LipidPxlInt"
,,10,415,"VALA_A2",974,"Vala_A2_CellCount",1527,"Vala_A2_CellCount"
,,10,415,"VALA_A2",975,"Vala_A2_PctDifferenCells",1528,"Vala_A2_PctDifferenCells"
,,10,415,"VALA_A2",976,"Vala_A2_K2_LipidvADFP",1530,"Vala_A2_K2_LipidvADFP"
,,10,415,"VALA_A2",977,"Vala_A2_K1_ADFPvLipid",1532,"Vala_A2_K1_ADFPvLipid"
,,10,415,"VALA_A2",978,"Vala_A2_LipidDropletDiam",1534,"Vala_A2_LipidDropletDiam"
,,10,415,"VALA_A2",979,"Vala_A2_PCC_LipidvPerilipin",1536,"Vala_A2_PCC_LipidvPerilipin"
,,10,416,"VALA_BC1",980,"Vala_BC1_CellCount",1538,"Vala_BC1_CellCount"
,,10,416,"VALA_BC1",981,"Vala_BC1_PCC_betacateninvNucleus",1539,"Vala_BC1_PCC_betacateninvNucleus"
,,10,417,"VALA_ECAD",982,"Vala_ECAD_CellCount",1541,"Vala_ECAD_CellCount"
,,10,417,"VALA_ECAD",983,"Vala_ECAD_ECADMembraneInt",1542,"Vala_ECAD_ECADMembraneInt"
,,10,417,"VALA_ECAD",984,"Vala_ECAD_ECADCellInt",1544,"Vala_ECAD_ECADCellInt"
,,10,417,"VALA_ECAD",985,"Vala_ECAD_TSA",1546,"Vala_ECAD_TSA"
,,10,418,"VALA_L2",986,"Vala_L2_CellCount",1548,"Vala_L2_CellCount"
,,10,418,"VALA_L2",987,"Vala_L2_PctDifferenCells",1549,"Vala_L2_PctDifferenCells"
,,10,418,"VALA_L2",988,"Vala_L2_LipidDropletDiam",1551,"Vala_L2_LipidDropletDiam"
,,10,418,"VALA_L2",989,"Vala_L2_PCC_pHSLvLipid",1553,"Vala_L2_PCC_pHSLvLipid"
,,10,418,"VALA_L2",990,"Vala_L2_PCC_pPerilipinvLipid",1555,"Vala_L2_PCC_pPerilipinvLipid"
,,10,419,"VALA_LD1",991,"Vala_LD1_CellCount",1557,"Vala_LD1_CellCount"
,,10,419,"VALA_LD1",992,"Vala_LD1_M2_ADFPvLipid_m",1558,"Vala_LD1_M2_ADFPvLipid_m"
,,10,419,"VALA_LD1",993,"Vala_LD1_LipidDropletArea",1560,"Vala_LD1_LipidDropletArea"
,,10,419,"VALA_LD1",994,"Vala_LD1_LipidDropletDiam",1562,"Vala_LD1_LipidDropletDiam"
,,10,420,"VALA_MEF1",995,"Vala_MEF1_Flk1Int",1564,"Vala_MEF1_Flk1Int"
,,10,420,"VALA_MEF1",996,"Vala_MEF1_CellCount",1566,"Vala_MEF1_CellCount"
,,10,420,"VALA_MEF1",997,"Vala_MEF1_MOC_NucleusFoxA2",1567,"Vala_MEF1_MOC_NucleusFoxA2"
,,10,420,"VALA_MEF1",998,"Vala_MEF1_PCC_NucleusvFlk1",1569,"Vala_MEF1_PCC_NucleusvFlk1"
,,10,420,"VALA_MEF1",999,"Vala_MEF1_PCC_NucleusvFoxA2",1571,"Vala_MEF1_PCC_NucleusvFoxA2"
,,10,421,"VALA_NO1",1000,"Vala_NO1_NeuriteArea",1573,"Vala_NO1_NeuriteArea"
,,10,421,"VALA_NO1",1001,"Vala_NO1_CellCount",1575,"Vala_NO1_CellCount"
,,10,421,"VALA_NO1",1002,"Vala_NO1_M1_PrePostSynapticImage",1576,"Vala_NO1_M1_PrePostSynapticImage"
,,10,421,"VALA_NO1",1003,"Vala_NO1_M2_PrePostNeuriteImage",1578,"Vala_NO1_M2_PrePostNeuriteImage"
,,10,422,"VALA_PBCD",1004,"Vala_PBCD_CellCount",1580,"Vala_PBCD_CellCount"
,,10,422,"VALA_PBCD",1005,"Vala_PBCD_FractionCellsGFPabvbgd",1581,"Vala_PBCD_FractionCellsGFPabvbgd"
,,10,422,"VALA_PBCD",1006,"Vala_PBCD_GFPNucleusInt",1583,"Vala_PBCD_GFPNucleusInt"
,,10,423,"VALA_SCP1",1007,"Vala_SCP1_CellCount",1585,"Vala_SCP1_CellCount"
,,10,423,"VALA_SCP1",1008,"Vala_SCP1_PCC_Oct3vNucleus",1586,"Vala_SCP1_PCC_Oct3vNucleus"
,,10,424,"VALA_VECAD",1009,"Vala_VECAD_CellCount",1588,"Vala_VECAD_CellCount"
,,10,424,"VALA_VECAD",1010,"Vala_VECAD_WholeCellInt",1589,"Vala_VECAD_WholeCellInt"
,,10,424,"VALA_VECAD",1011,"Vala_VECAD_TSAMiMm",1591,"Vala_VECAD_TSAMiMm"
,,10,424,"VALA_VECAD",1012,"Vala_VECAD_TSA",1593,"Vala_VECAD_TSA"
,,10,427,"VALA_LD2",1018,"Vala_LD2_CellCount",1665,"Vala_LD2_CellCount"
,,10,427,"VALA_LD2",1019,"Vala_LD2_PCC_ADFPvlipid",1666,"Vala_LD2_PCC_ADFPvlipid"
,,10,427,"VALA_LD2",1020,"Vala_LD2_LipidDropletDiam",1668,"Vala_LD2_LipidDropletDiam"
,,10,427,"VALA_LD2",1021,"Vala_LD2_M2_ADFPvLipid",1670,"Vala_LD2_M2_ADFPvLipid"
,,10,427,"VALA_LD2",1022,"Vala_LD2_LipidPxlInt",1672,"Vala_LD2_LipidPxlInt"
,,10,419,"VALA_LD1",1033,"Vala_LD1_LipidPxlInt",1742,"Vala_LD1_LipidPxlInt"
,,10,419,"VALA_LD1",1112,"Vala_LD1_M2_ADFPvLipid_md",1804,"Vala_LD1_M2_ADFPvLipid_md"
,,10,860,"VALA_TUBHUV_Agonist",2805,"VALA_TUBHUV_Agonist_CellCount",3019,"VALA_TUBHUV_Agonist_CellCount"
,,10,860,"VALA_TUBHUV_Agonist",2806,"VALA_TUBHUV_Agonist_TubuleLength",3020,"VALA_TUBHUV_Agonist_TubuleLength"
,,10,861,"VALA_TUBHUV_Antagonist",2807,"VALA_TUBHUV_Antagonist_CellCount",3021,"VALA_TUBHUV_Antagonist_CellCount"
,,10,861,"VALA_TUBHUV_Antagonist",2808,"VALA_TUBHUV_Antagonist_TubuleLength",3022,"VALA_TUBHUV_Antagonist_TubuleLength"
,,10,862,"VALA_TUBIPS_Agonist",2809,"VALA_TUBIPS_Agonist_CellCount",3023,"VALA_TUBIPS_Agonist_CellCount"
,,10,862,"VALA_TUBIPS_Agonist",2810,"VALA_TUBIPS_Agonist_TubuleLength",3024,"VALA_TUBIPS_Agonist_TubuleLength"
,,10,863,"VALA_TUBIPS_Antagonist",2811,"VALA_TUBIPS_Antagonist_CellCount",3025,"VALA_TUBIPS_Antagonist_CellCount"
,,10,863,"VALA_TUBIPS_Antagonist",2812,"VALA_TUBIPS_Antagonist_TubuleLength",3026,"VALA_TUBIPS_Antagonist_TubuleLength"
,,10,864,"VALA_MIGHUV1_ScratchOnly",2813,"VALA_MIGHUV1_ScratchOnly_CellCount",3027,"VALA_MIGHUV1_ScratchOnly_CellCount"
,,10,864,"VALA_MIGHUV1_ScratchOnly",2814,"VALA_MIGHUV1_ScratchOnly_WoundArea",3028,"VALA_MIGHUV1_ScratchOnly_WoundArea"
,,10,865,"VALA_MIGHUV2_Bcatenin",2815,"VALA_MIGHUV2_CellCount",3029,"VALA_MIGHUV2_CellCount"
,,10,865,"VALA_MIGHUV2_Bcatenin",2816,"VALA_MIGHUV2_Bcatenin",3030,"VALA_MIGHUV2_Bcatenin"
,,10,865,"VALA_MIGHUV2_Bcatenin",2817,"VALA_MIGHUV2_WoundArea",3031,"VALA_MIGHUV2_WoundArea"
,,11,398,"CLD_0hr_negctrl",822,"CLD_ABCB1_0hr_negctrl",1595,"CLD_ABCB1_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",823,"CLD_ABCB11_0hr_negctrl",1596,"CLD_ABCB11_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",824,"CLD_ABCG2_0hr_negctrl",1597,"CLD_ABCG2_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",825,"CLD_ACTIN_0hr_negctrl",1598,"CLD_ACTIN_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",826,"CLD_CYP1A1_0hr_negctrl",1599,"CLD_CYP1A1_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",827,"CLD_CYP1A2_0hr_negctrl",1600,"CLD_CYP1A2_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",828,"CLD_CYP2B6_0hr_negctrl",1601,"CLD_CYP2B6_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",829,"CLD_CYP2C19_0hr_negctrl",1602,"CLD_CYP2C19_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",830,"CLD_CYP2C9_0hr_negctrl",1603,"CLD_CYP2C9_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",831,"CLD_CYP3A4_0hr_negctrl",1604,"CLD_CYP3A4_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",832,"CLD_GAPDH_0hr_negctrl",1605,"CLD_GAPDH_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",833,"CLD_GSTA2_0hr_negctrl",1606,"CLD_GSTA2_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",834,"CLD_HMGCS2_0hr_negctrl",1607,"CLD_HMGCS2_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",835,"CLD_SLCO1B1_0hr_negctrl",1608,"CLD_SLCO1B1_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",836,"CLD_SULT2A_0hr_negctrl",1609,"CLD_SULT2A_0hr_negctrl"
,,11,398,"CLD_0hr_negctrl",837,"CLD_UGT1A1_0hr_negctrl",1610,"CLD_UGT1A1_0hr_negctrl"
,,11,399,"CLD_6hr",841,"CLD_ACTIN_6hr",1614,"CLD_ACTIN_6hr"
,,11,399,"CLD_6hr",848,"CLD_GAPDH_6hr",1621,"CLD_GAPDH_6hr"
,,11,400,"CLD_24hr",857,"CLD_ACTIN_24hr",1630,"CLD_ACTIN_24hr"
,,11,400,"CLD_24hr",864,"CLD_GAPDH_24hr",1637,"CLD_GAPDH_24hr"
,,11,401,"CLD_48hr",873,"CLD_ACTIN_48hr",1646,"CLD_ACTIN_48hr"
,,11,401,"CLD_48hr",880,"CLD_GAPDH_48hr",1653,"CLD_GAPDH_48hr"
,,12,410,"CCTE_Padilla_ZF_144hpf",962,"CCTE_Padilla_ZF_144hpf_TERATOSCORE",1507,"CCTE_Padilla_ZF_144hpf_TERATOSCORE"
,,12,854,"CCTE_Padilla_ZF_144hpf_BEHAV",2712,"CCTE_Padilla_ZF_144hpf_BEHAV_DARK_MIN",2798,"CCTE_Padilla_ZF_144hpf_BEHAV_DARK_MIN"
,,12,854,"CCTE_Padilla_ZF_144hpf_BEHAV",2713,"CCTE_Padilla_ZF_144hpf_BEHAV_DARK_SUM",2800,"CCTE_Padilla_ZF_144hpf_BEHAV_DARK_SUM"
,,12,854,"CCTE_Padilla_ZF_144hpf_BEHAV",2714,"CCTE_Padilla_ZF_144hpf_BEHAV_LIGHT_MAX",2802,"CCTE_Padilla_ZF_144hpf_BEHAV_LIGHT_MAX"
,,12,854,"CCTE_Padilla_ZF_144hpf_BEHAV",2715,"CCTE_Padilla_ZF_144hpf_BEHAV_LIGHT_SUM",2804,"CCTE_Padilla_ZF_144hpf_BEHAV_LIGHT_SUM"
,,12,854,"CCTE_Padilla_ZF_144hpf_BEHAV",2716,"CCTE_Padilla_ZF_144hpf_BEHAV_TOTAL_SUM",2806,"CCTE_Padilla_ZF_144hpf_BEHAV_TOTAL_SUM"
,,13,409,"Tanguay_ZF_120hpf",939,"Tanguay_ZF_120hpf_MORT",1372,"Tanguay_ZF_120hpf_MORT"
,,13,409,"Tanguay_ZF_120hpf",940,"Tanguay_ZF_120hpf_YSE",1373,"Tanguay_ZF_120hpf_YSE"
